Start Order,Run Order,Packing,Gap,Flip,Sort,Problem Set
269,340,bottom lower,no,height,increasing length,8
450,341,bottom lower,yes,none,increasing height,9
207,342,bottom left,yes,none,increasing height,6
453,343,bottom lower,yes,none,decreasing height,2
321,344,bottom lower,no,none,increasing height,0
237,345,bottom left,yes,none,decreasing length,6
402,346,bottom lower,yes,length,increasing height,1
132,347,bottom left,yes,height,decreasing height,1
201,348,bottom left,yes,none,increasing height,0
197,349,bottom left,yes,length,decreasing length,6
348,350,bottom lower,no,none,increasing length,7
159,351,bottom left,yes,height,decreasing length,8
193,352,bottom left,yes,length,decreasing length,2
469,353,bottom lower,yes,none,increasing length,8
10,354,bottom left,no,height,increasing height,9
82,355,bottom left,no,none,increasing height,1
397,356,bottom lower,yes,height,decreasing length,6
129,357,bottom left,yes,height,increasing height,8
109,358,bottom left,no,none,increasing length,8
278,359,bottom lower,no,height,decreasing length,7
458,360,bottom lower,yes,none,decreasing height,7
224,361,bottom left,yes,none,increasing length,3
41,362,bottom left,no,length,increasing height,0
12,363,bottom left,no,height,decreasing height,1
423,364,bottom lower,yes,length,increasing length,2
141,365,bottom left,yes,height,increasing length,0
85,366,bottom left,no,none,increasing height,4
320,367,bottom lower,no,length,decreasing length,9
433,368,bottom lower,yes,length,decreasing length,2
327,369,bottom lower,no,none,increasing height,6
424,370,bottom lower,yes,length,increasing length,3
383,371,bottom lower,yes,height,increasing length,2
192,372,bottom left,yes,length,decreasing length,1
356,373,bottom lower,no,none,decreasing length,5
178,374,bottom left,yes,length,decreasing height,7
366,375,bottom lower,yes,height,increasing height,5
39,376,bottom left,no,height,decreasing length,8
209,377,bottom left,yes,none,increasing height,8
9,378,bottom left,no,height,increasing height,8
351,379,bottom lower,no,none,decreasing length,0
312,380,bottom lower,no,length,decreasing length,1
117,381,bottom left,no,none,decreasing length,6
42,382,bottom left,no,length,increasing height,1
459,383,bottom lower,yes,none,decreasing height,8
208,384,bottom left,yes,none,increasing height,7
404,385,bottom lower,yes,length,increasing height,3
108,386,bottom left,no,none,increasing length,7
403,387,bottom lower,yes,length,increasing height,2
186,388,bottom left,yes,length,increasing length,5
308,389,bottom lower,no,length,increasing length,7
220,390,bottom left,yes,none,decreasing height,9
204,391,bottom left,yes,none,increasing height,3
119,392,bottom left,no,none,decreasing length,8
241,393,bottom lower,no,height,increasing height,0
74,394,bottom left,no,length,decreasing length,3
148,395,bottom left,yes,height,increasing length,7
393,396,bottom lower,yes,height,decreasing length,2
107,397,bottom left,no,none,increasing length,6
167,398,bottom left,yes,length,increasing height,6
449,399,bottom lower,yes,none,increasing height,8
336,400,bottom lower,no,none,decreasing height,5
467,401,bottom lower,yes,none,increasing length,6
44,402,bottom left,no,length,increasing height,3
352,403,bottom lower,no,none,decreasing length,1
326,404,bottom lower,no,none,increasing height,5
313,405,bottom lower,no,length,decreasing length,2
328,406,bottom lower,no,none,increasing height,7
472,407,bottom lower,yes,none,decreasing length,1
360,408,bottom lower,no,none,decreasing length,9
198,409,bottom left,yes,length,decreasing length,7
297,410,bottom lower,no,length,decreasing height,6
448,411,bottom lower,yes,none,increasing height,7
357,412,bottom lower,no,none,decreasing length,6
52,413,bottom left,no,length,decreasing height,1
474,414,bottom lower,yes,none,decreasing length,3
267,415,bottom lower,no,height,increasing length,6
440,416,bottom lower,yes,length,decreasing length,9
462,417,bottom lower,yes,none,increasing length,1
94,418,bottom left,no,none,decreasing height,3
230,419,bottom left,yes,none,increasing length,9
342,420,bottom lower,no,none,increasing length,1
110,421,bottom left,no,none,increasing length,9
316,422,bottom lower,no,length,decreasing length,5
89,423,bottom left,no,none,increasing height,8
394,424,bottom lower,yes,height,decreasing length,3
223,425,bottom left,yes,none,increasing length,2
240,426,bottom left,yes,none,decreasing length,9
45,427,bottom left,no,length,increasing height,4
466,428,bottom lower,yes,none,increasing length,5
155,429,bottom left,yes,height,decreasing length,4
153,430,bottom left,yes,height,decreasing length,2
158,431,bottom left,yes,height,decreasing length,7
238,432,bottom left,yes,none,decreasing length,7
376,433,bottom lower,yes,height,decreasing height,5
150,434,bottom left,yes,height,increasing length,9
68,435,bottom left,no,length,increasing length,7
184,436,bottom left,yes,length,increasing length,3
236,437,bottom left,yes,none,decreasing length,5
100,438,bottom left,no,none,decreasing height,9
32,439,bottom left,no,height,decreasing length,1
152,440,bottom left,yes,height,decreasing length,1
80,441,bottom left,no,length,decreasing length,9
362,442,bottom lower,yes,height,increasing height,1
265,443,bottom lower,no,height,increasing length,4
456,444,bottom lower,yes,none,decreasing height,5
294,445,bottom lower,no,length,decreasing height,3
436,446,bottom lower,yes,length,decreasing length,5
378,447,bottom lower,yes,height,decreasing height,7
69,448,bottom left,no,length,increasing length,8
255,449,bottom lower,no,height,decreasing height,4
8,450,bottom left,no,height,increasing height,7
361,451,bottom lower,yes,height,increasing height,0
300,452,bottom lower,no,length,decreasing height,9
38,453,bottom left,no,height,decreasing length,7
1,454,bottom left,no,height,increasing height,0
156,455,bottom left,yes,height,decreasing length,5
172,456,bottom left,yes,length,decreasing height,1
195,457,bottom left,yes,length,decreasing length,4
258,458,bottom lower,no,height,decreasing height,7
30,459,bottom left,no,height,increasing length,9
60,460,bottom left,no,length,decreasing height,9
13,461,bottom left,no,height,decreasing height,2
406,462,bottom lower,yes,length,increasing height,5
212,463,bottom left,yes,none,decreasing height,1
183,464,bottom left,yes,length,increasing length,2
182,465,bottom left,yes,length,increasing length,1
480,466,bottom lower,yes,none,decreasing length,9
390,467,bottom lower,yes,height,increasing length,9
248,468,bottom lower,no,height,increasing height,7
335,469,bottom lower,no,none,decreasing height,4
257,470,bottom lower,no,height,decreasing height,6
136,471,bottom left,yes,height,decreasing height,5
67,472,bottom left,no,length,increasing length,6
65,473,bottom left,no,length,increasing length,4
471,474,bottom lower,yes,none,decreasing length,0
135,475,bottom left,yes,height,decreasing height,4
334,476,bottom lower,no,none,decreasing height,3
291,477,bottom lower,no,length,decreasing height,0
96,478,bottom left,no,none,decreasing height,5
176,479,bottom left,yes,length,decreasing height,5
341,480,bottom lower,no,none,increasing length,0
